Scene,ComparedMethod,FAEAE_Mean,Baseline_Mean,pValue,Result,Test
Scene 1,AE,302.32205606765,291.38278501979,3.01985935916215e-11,-,ranksum
Scene 1,PSO,302.32205606765,285.458327386538,8.48477290014804e-09,-,ranksum
Scene 1,GWO,302.32205606765,332.564104451501,3.01985935916215e-11,+,ranksum
Scene 1,HHO,302.32205606765,310.978433286096,0.00137033256104877,+,ranksum
Scene 1,WOA,302.32205606765,334.59453898854,0.00289132530507862,+,ranksum
Scene 2,AE,321.02690450675,1299.2322616049,0.000253057845560828,+,ranksum
Scene 2,PSO,321.02690450675,664.408010585454,9.21126879371652e-05,+,ranksum
Scene 2,GWO,321.02690450675,332.581854460489,0.010314672402338,+,ranksum
Scene 2,HHO,321.02690450675,394.017785806664,0.00868437122924063,+,ranksum
Scene 2,WOA,321.02690450675,779.663470324911,3.01985935916215e-11,+,ranksum
Scene 4,AE,330.425074345939,2153.8245715348,3.01985935916215e-11,+,ranksum
Scene 4,PSO,330.425074345939,1129.46847434805,5.57265324845429e-10,+,ranksum
Scene 4,GWO,330.425074345939,526.506494554821,3.01985935916215e-11,+,ranksum
Scene 4,HHO,330.425074345939,925.737357935964,3.01985935916215e-11,+,ranksum
Scene 4,WOA,330.425074345939,1486.20900200556,3.01985935916215e-11,+,ranksum
