FuncId,Method,Mean,Std,Best,Median,AvgRuntime,Rank
1,Base-AE,9532852.38167173,928724.587034917,8506448.685189,9776979.9883958,0.623828233333333,3
1,AE+Init,2648636.17014328,595538.255392502,1965519.8092604,2921784.98166096,0.610151066666667,2
1,AE+Init+AOS,151455.929294676,14117.6424865222,136323.343929546,153772.319644574,0.7351591,1
1,AE+Init+AOS+Repair,316004270.291792,7850218.76377649,306940128.77572,320453042.960938,0.759407333333333,4
1,FAE-AE,393523004.964646,81776722.1566037,313850079.544767,389466404.407627,0.7227936,5
3,Base-AE,33123.8794006953,4465.39983278626,28290.5949358305,33985.1063741312,0.610789966666667,4
3,AE+Init,32456.4355792229,5518.16517444843,26125.2862663705,34999.468529197,0.6220497,3
3,AE+Init+AOS,52955.1170859482,11403.2588114483,43400.5255372957,49885.9711970307,0.7223068,5
3,AE+Init+AOS+Repair,18320.0418456932,3722.24679817135,15256.048290099,17241.6595619449,0.7685034,2
3,FAE-AE,18090.0551024226,2292.90108475143,15778.6153710888,18127.5933367062,0.737708833333333,1
