FuncId,Algorithm,Mean,Std,Best,Median,AvgRuntime,Rank
1,AE,8453196.9739913,884814.217630794,6420017.19144225,8520986.34745716,5.71375009,1
1,PSO,1270008615.12866,2396701723.23005,441.188180128813,513400985.562894,0.71520691,4
1,GWO,12909348733.5688,1830437686.63947,10012247692.9904,13346595862.3562,1.05912773,5
1,HHO,13021984.2759328,3621256.28819005,5838844.49230671,13871071.7678459,0.89248058,2
1,WOA,18918767254.7871,5310007464.93022,12198923633.5639,19731786828.1679,0.55043663,6
1,FAEAE,95497729.9068235,9752900.52642241,74319611.1656177,96680433.3141226,6.54107512,3
3,AE,316.799535806926,1.5958157099042,315.048342314252,316.164369278722,5.8623079,2
3,PSO,300.000000000001,2.85477486714462e-13,300,300.000000000001,0.88654757,1
3,GWO,92503.889227007,2315.25004800298,86838.2493521737,92668.4799654167,1.23037159,5
3,HHO,7286.61490920568,1848.25117819389,4536.21546770598,8392.53400465107,1.12457566,4
3,WOA,95911.1693857057,10184.2458248099,83776.3046008299,95341.2735456804,0.72589635,6
3,FAEAE,518.426710746852,23.4585006058773,484.746113108343,517.417102300793,6.8066798,3
4,AE,485.220512412262,33.4935226097902,405.622776583814,490.43341718193,5.64581057,1
4,PSO,621.849758654934,208.537639782713,464.117395013356,545.956292883281,0.74651616,4
4,GWO,1205.106505885,210.507750077559,866.346045238723,1230.76133277704,1.04887366,5
4,HHO,520.896382295144,27.585999014615,493.422551794884,516.249017237187,0.8876148,3
4,WOA,4668.14050530939,2010.60252549207,2180.08384560205,4211.45983770769,0.54970438,6
4,FAEAE,509.637621640451,18.9430665069184,480.438130108989,519.91827536569,6.51896975,2
5,AE,670.551420008759,25.4136864621717,635.209986400923,677.475372283124,5.75095147,4
5,PSO,620.25088939193,38.9653375066419,559.697462775054,619.829184134599,0.74553062,2
5,GWO,825.321142109226,24.2627192354127,790.853300868032,828.901868104451,1.12840619,5
5,HHO,660.816745558247,35.7703462382101,621.669171231382,651.590726502225,0.96525986,3
5,WOA,858.721289006398,52.1697593873568,798.193468557111,850.166874130806,0.61772697,6
5,FAEAE,612.816360498943,13.8075519297546,592.976882435769,612.387746585013,6.64430367,1
6,AE,650.936325126372,6.72431052334016,640.615511598339,653.915539288237,6.71581509,5
6,PSO,619.347134406533,8.59516055355513,605.68501609908,618.917014132116,1.63266875,2
6,GWO,650.916878734553,6.51503312455126,640.601707603974,651.169690964269,2.04582558,4
6,HHO,628.874154919555,8.52381792768499,619.497709336838,628.072509235042,1.91635301,3
6,WOA,681.101019640255,8.31153162568053,669.267063732164,680.951092231115,1.54636769,6
6,FAEAE,604.374591174913,0.528649744097992,603.586042661719,604.358418698955,7.62262119,1
