SceneId,Method,BestFit,Feasible,SourceFile
1,Base-AE,348.731308771598,1,
1,AE+Init,302.792144024327,1,
1,AE+Init+AOS,299.35364609971,1,
1,AE+Init+AOS+Repair,298.417725979443,1,
1,FAE-AE,300.905107572413,1,
2,Base-AE,530.618388864427,1,
2,AE+Init,312.352495643657,1,
2,AE+Init+AOS,310.161366042478,1,
2,AE+Init+AOS+Repair,312.538988335289,1,
2,FAE-AE,304.674255791979,1,
4,Base-AE,1355.55432079764,0,
4,AE+Init,21291.9265910845,1,
4,AE+Init+AOS,327.773665789125,1,
4,AE+Init+AOS+Repair,316.124351368732,1,
4,FAE-AE,326.458790277744,1,
