runId,feasible,fit,meanZ,maxZ,stdZ,smoothS,pathL
16,1,309.557578285182,8.21362394345134,12.0689881014021,3.50572841679602,0.147424880171728,150.441441264444
22,1,310.659611647294,8.26274852435862,12.2330321127816,3.64472204143908,0.0873741999857384,149.298602781566
15,1,313.516936701062,8.32725472544366,12.1655875049933,3.45185026858034,0.154846716038629,149.396380363368
23,1,314.578506342502,8.34592901512812,12.2182190546265,3.49989865497158,0.0495327801444589,148.906987323696
29,1,315.73247141967,8.34754718238619,12.3338597889477,3.63910329622081,0.0518973237346182,149.44306491019
14,1,314.726615689354,8.36938328669445,12.135093477689,3.40136160377735,0.0742075483693832,150.410018083505
12,1,314.702492798522,8.40508707133504,12.1399357736134,3.47702878339412,0.190815695018697,151.78874834545
21,1,314.040922178886,8.42748164664182,12.1528777846204,3.41354049880131,0.0648792850284571,148.511496048721
27,1,314.583834977593,8.44071886241088,12.2237706193628,3.52586123407667,0.114317374704946,150.413609826706
9,1,313.748662370129,8.47976830367021,12.2562585814967,3.60424702291051,0.341277378705043,150.425931039435
30,1,314.411269304542,8.58315306757711,12.3108602908198,3.510799268135,0.137698342841696,151.035560893687
10,1,313.434424131689,8.60408598667417,12.1874447764959,3.36534955298376,0.0930327358870271,150.057902387691
5,1,311.864841518627,8.63838339553906,12.3713707873315,3.5846561633848,0.0916841624509721,150.647721895285
